x[km] y[km] z[km] ex ey ez dlos[cm] sigma[cm] type
-17.052008 29.46024 0.026425 -0.59 0.105 -0.801 1.3 2.1 sar
-12.97259 29.45135 0.034982 -0.586 0.104 -0.804 1.6 2.1 sar
-8.893261 29.445199 0.110982 -0.583 0.103 -0.806 1.1 2.1 sar
-4.813911 29.441916 0.282399 -0.579 0.103 -0.809 0.0 2.1 sar
-0.733856 33.884473 0.320313 -0.577 0.102 -0.811 -0.9 2.1 sar
3.343054 33.884542 0.187507 -0.573 0.1 -0.813 0.5 2.1 sar
-0.734325 29.440242 0.277169 -0.576 0.102 -0.811 -1.5 2.1 sar
3.345216 29.440654 0.198332 -0.573 0.101 -0.814 -1.7 2.1 sar
7.420178 33.888787 0.383114 -0.57 0.1 -0.816 2.1 2.1 sar
11.496944 33.89365 0.239141 -0.567 0.1 -0.818 1.6 2.1 sar
7.424863 29.444308 0.295936 -0.569 0.101 -0.816 0.3 2.1 sar
11.504744 29.450659 0.451941 -0.566 0.099 -0.819 0.4 2.1 sar
15.574442 33.902929 0.468617 -0.563 0.098 -0.82 0.7 2.1 sar
19.652001 33.914222 0.620526 -0.56 0.098 -0.823 0.9 2.1 sar
15.584115 29.458083 0.315378 -0.562 0.099 -0.821 -0.7 2.1 sar
19.664056 29.469042 0.418267 -0.559 0.099 -0.824 -0.6 2.1 sar
-29.308909 25.057519 -0.047957 -0.598 0.107 -0.794 1.5 2.1 sar
-33.412565 20.632534 -0.032117 -0.6 0.108 -0.792 -0.1 2.1 sar
-29.327878 20.613913 -0.029221 -0.597 0.108 -0.795 1.0 2.1 sar
-33.434264 16.188997 0.003527 -0.6 0.109 -0.793 -1.4 2.1 sar
-29.34685 16.170335 -0.009582 -0.597 0.109 -0.795 -0.3 2.1 sar
-33.455904 11.745436 0.028055 -0.599 0.109 -0.793 -1.6 2.1 sar
-29.365863 11.726793 0.018942 -0.596 0.109 -0.796 -2.1 2.1 sar
-25.226931 25.041381 -0.03063 -0.595 0.107 -0.797 1.5 2.1 sar
-21.145264 25.028052 0.084113 -0.592 0.106 -0.799 0.1 2.1 sar
-25.243245 20.597755 -0.014906 -0.594 0.107 -0.797 1.2 2.1 sar
-21.158734 20.584147 0.037823 -0.591 0.106 -0.8 -0.2 2.1 sar
-17.063072 25.016576 0.053243 -0.588 0.105 -0.802 1.0 2.1 sar
-12.981009 25.007686 0.062786 -0.585 0.105 -0.804 1.7 2.1 sar
-17.074064 20.572843 0.052951 -0.588 0.106 -0.802 -0.4 2.1 sar
-12.989463 20.564092 0.107479 -0.584 0.105 -0.805 0.6 2.1 sar
-25.259555 16.154156 -0.000277 -0.593 0.107 -0.798 0.2 2.1 sar
